x,y,yaw,s,curvature,v,yaw_rate,t,ref_id
9.013,-0.091,0.022,0.0,0.462968,0.0,0.0,0.0,pickup_rear
9.1129,-0.0873,0.0529,0.1,0.462968,0.2449,0.1134,0.8165,
9.2126,-0.0789,0.1146,0.2,0.771613,0.3464,0.2673,1.1546,
9.3112,-0.0629,0.2072,0.2999,1.080258,0.4242,0.4583,1.4141,
9.4076,-0.0363,0.3306,0.3999,1.234568,0.4025,0.4969,1.6558,
9.4999,0.0019,0.4541,0.4998,1.234568,0.4025,0.4969,1.9041,
9.5869,0.0512,0.5776,0.5998,1.234568,0.4025,0.4969,2.1524,
9.6671,0.1108,0.701,0.6997,1.234568,0.4025,0.4969,2.4007,
9.7393,0.1798,0.8245,0.7996,1.234568,0.4025,0.4969,2.649,
9.8025,0.2573,0.9479,0.8996,1.234568,0.4025,0.4969,2.8973,
9.8557,0.3419,1.0714,0.9995,1.234568,0.4025,0.4969,3.1456,
9.898,0.4324,1.1948,1.0994,1.234568,0.4025,0.4969,3.3939,
9.9289,0.5274,1.3183,1.1994,1.234568,0.4025,0.4969,3.6422,
9.9479,0.6256,1.4418,1.2993,1.234568,0.4025,0.4969,3.8905,
9.9546,0.7253,1.5652,1.3992,1.234568,0.4025,0.4969,4.1388,
9.949,0.825,1.6887,1.4992,1.234568,0.4025,0.4969,4.3871,
9.9311,0.9234,1.8121,1.5991,1.234568,0.4025,0.4969,4.6354,
9.9013,1.0188,1.9356,1.6991,1.080258,0.4303,0.4648,4.8754,
9.8614,1.1104,2.0282,1.799,0.925926,0.4648,0.4303,5.0988,
9.8131,1.1979,2.1208,1.899,0.925926,0.4648,0.4303,5.3139,
9.757,1.2807,2.2134,1.9989,0.771613,0.5,0.3858,5.5211,
9.6946,1.3588,2.2751,2.0989,0.462968,0.5,0.2315,5.7211,
9.6287,1.434,2.306,2.1989,0.308642,0.5,0.1543,5.921,
9.5605,1.5071,2.3368,2.2989,0.308642,0.5,0.1543,6.121,
9.4901,1.5781,2.3677,2.3989,0.308642,0.5,0.1543,6.321,
9.4175,1.6469,2.3985,2.4989,0.308642,0.5,0.1543,6.521,
9.3428,1.7134,2.4294,2.5989,0.308642,0.5,0.1543,6.721,
9.2661,1.7776,2.4603,2.6989,0.154323,0.5,0.0772,6.921,
9.1885,1.8406,2.4603,2.7989,0.0,0.5,0.0,7.121,
9.1108,1.9035,2.4603,2.8989,0.0,0.5,0.0,7.321,
9.0331,1.9665,2.4603,2.9989,-0.0,0.5,-0.0,7.521,
8.9554,2.0295,2.4603,3.0989,0.0,0.5,0.0,7.721,
8.8778,2.0925,2.4603,3.1989,0.0,0.5,0.0,7.921,
8.8001,2.1555,2.4603,3.2989,0.0,0.5,0.0,8.121,
8.7224,2.2185,2.4603,3.3989,0.0,0.5,0.0,8.321,
8.6447,2.2814,2.4603,3.4989,0.0,0.5,0.0,8.521,
8.5671,2.3444,2.4603,3.5989,0.0,0.5,0.0,8.721,
8.4894,2.4074,2.4603,3.6989,0.0,0.5,0.0,8.921,
8.4117,2.4704,2.4603,3.7989,0.154323,0.5,0.0772,9.121,
8.3331,2.5322,2.4911,3.8989,0.462968,0.5,0.2315,9.321,
8.2517,2.5902,2.5529,3.9989,0.617284,0.5,0.3086,9.521,
8.1669,2.6431,2.6146,4.0989,0.771613,0.5,0.3858,9.7209,
8.0782,2.6894,2.7072,4.1988,0.925926,0.4648,0.4303,9.9282,
7.9857,2.7272,2.7998,4.2988,1.080258,0.4303,0.4648,10.1515,
7.8897,2.7548,2.9232,4.3987,1.080258,0.4303,0.4648,10.3838,
7.7912,2.7719,3.0158,4.4987,0.771613,0.4951,0.382,10.5999,
7.6916,2.7814,3.0776,4.5987,0.462968,0.5,0.2315,10.8008,
